time_s,true_yaw_rate_deg_s,raw_yaw_rate_deg_s,true_yaw_angle_deg,raw_yaw_angle_deg,true_pitch_rate_deg_s,raw_pitch_rate_deg_s,true_pitch_angle_deg,raw_pitch_angle_deg,true_roll_rate_deg_s,raw_roll_rate_deg_s,true_roll_angle_deg,raw_roll_angle_deg
0.0,4.7943,5.0175,0.0,0.0,7.6602,7.1396,0.0,0.0,10.7603,10.9978,0.0,0.0
0.01,5.7006,6.0541,0.0525,0.0554,7.7015,7.7243,0.0768,0.0743,11.2947,11.4463,0.1103,0.1123
0.02,6.5937,6.568,0.114,0.1185,7.7116,7.7,0.1539,0.1515,11.8241,11.5657,0.2259,0.2274
0.03,7.472,7.3494,0.1843,0.1881,7.6909,7.9818,0.231,0.2299,12.3473,12.4249,0.3468,0.3473
0.04,8.3346,7.8871,0.2634,0.2643,7.6398,7.1354,0.3076,0.3055,12.8633,12.4865,0.4729,0.4719
0.05,9.1802,9.6217,0.351,0.3519,7.5591,8.0314,0.3837,0.3814,13.3709,13.1713,0.6042,0.6003
0.06,10.0077,10.1627,0.447,0.4509,7.4499,7.5271,0.4587,0.4592,13.8689,14.0731,0.7404,0.7365
0.07,10.816,11.0277,0.5511,0.5568,7.3133,6.8187,0.5326,0.531,14.3564,14.0452,0.8816,0.8772
0.08,11.6042,11.5191,0.6633,0.6696,7.1508,7.0565,0.6049,0.6004,14.8321,14.709,1.0276,1.021
0.09,12.3711,12.8891,0.7832,0.7917,6.964,7.0662,0.6755,0.671,15.2952,15.7848,1.1782,1.1735
0.1,13.116,13.549,0.9107,0.9239,6.7546,7.0235,0.7441,0.7415,15.7444,15.991,1.3335,1.3325
0.11,13.8379,13.9513,1.0455,1.0615,6.5247,6.6325,0.8105,0.8098,16.179,16.1081,1.4932,1.493
0.12,14.536,14.5192,1.1874,1.2039,6.2762,6.1425,0.8746,0.8737,16.5978,16.6448,1.6571,1.6568
0.13,15.2095,15.2525,1.3362,1.3528,6.0115,6.5194,0.936,0.937,17.0,17.2382,1.8251,1.8263
0.14,15.8578,15.7682,1.4916,1.5079,5.7328,5.6145,0.9948,0.9977,17.3848,17.8527,1.9971,2.0018
0.1501,16.4802,16.6381,1.6533,1.67,5.4426,4.83,1.0507,1.0499,17.7512,17.5481,2.1729,2.1789
0.1601,17.076,17.0412,1.8211,1.8385,5.1434,4.8711,1.1036,1.0985,18.0985,18.1026,2.3522,2.3572
0.1701,17.6448,17.9705,1.9948,2.0136,4.8375,5.0541,1.1535,1.1481,18.4259,18.5537,2.5349,2.5405
0.1801,18.1862,18.2283,2.174,2.1946,4.5277,4.4963,1.2004,1.1959,18.7328,19.0483,2.7207,2.7286
0.1901,18.6996,18.7434,2.3585,2.3796,4.2163,4.0706,1.2441,1.2387,19.0185,19.0001,2.9095,2.9189
0.2001,19.1848,19.796,2.548,2.5723,3.906,3.6027,1.2847,1.2771,19.2825,19.7655,3.1011,3.1128
0.2101,19.6415,19.5738,2.7422,2.7692,3.5992,3.5664,1.3223,1.313,19.5241,19.6033,3.2952,3.3097
0.2201,20.0696,19.7492,2.9408,2.9659,3.2982,3.1275,1.3568,1.3464,19.743,19.6589,3.4916,3.5061
0.2301,20.4687,20.7286,3.1436,3.1684,3.0054,2.5452,1.3883,1.3748,19.9387,20.4695,3.6901,3.7068
0.2401,20.839,20.3656,3.3502,3.3739,2.7229,2.4181,1.417,1.3996,20.1109,20.9841,3.8904,3.9141
0.2501,21.1803,21.4096,3.5603,3.5829,2.4529,2.3585,1.4428,1.4235,20.2593,19.7743,4.0923,4.118
0.2601,21.4927,21.9373,3.7738,3.7997,2.1972,2.4268,1.4661,1.4475,20.3836,20.8857,4.2956,4.3214
0.2701,21.7764,21.9475,3.9902,4.0192,1.9576,2.1349,1.4869,1.4703,20.4836,20.5824,4.5,4.5288
0.2801,22.0315,22.1843,4.2093,4.2399,1.7356,1.8664,1.5054,1.4903,20.5594,20.8698,4.7053,4.7361
0.2901,22.2583,21.7931,4.4308,4.4599,1.5327,1.562,1.5217,1.5074,20.6108,20.949,4.9112,4.9453
0.3001,22.4571,22.7737,4.6545,4.6828,1.3501,1.1849,1.5361,1.5212,20.6378,20.7416,5.1175,5.1538
