time_s,true_distance_mm,echo_time_us,measured_mm,noisy_mm
0.0,55.0,315.849,55.0,55.0
0.01,55.493,318.683,55.493,55.493
0.02,55.979,321.471,55.979,55.979
0.03,56.449,324.17,56.449,56.449
0.04,56.896,326.735,56.896,56.896
0.05,57.312,329.125,57.312,57.312
0.06,57.691,331.302,57.691,57.691
0.07,58.027,333.231,58.027,58.027
0.08,58.314,334.88,58.314,58.314
0.09,58.548,336.223,58.548,58.548
0.1,58.725,337.239,58.725,58.725
0.11,58.841,337.909,58.841,58.841
0.12,58.896,338.223,58.896,58.896
0.13,58.888,338.176,58.888,58.888
0.14,58.817,337.767,58.817,58.817
0.1501,58.683,337.001,58.683,58.683
0.1601,58.49,335.891,58.49,58.49
0.1701,58.24,334.454,58.24,58.24
0.1801,57.936,332.71,57.936,57.936
0.1901,57.584,330.687,57.584,57.584
0.2001,57.188,328.416,57.188,57.188
0.2101,56.756,325.932,56.756,56.756
0.2201,56.293,323.274,56.293,56.293
0.2301,55.807,320.483,55.807,55.807
0.2401,55.305,317.602,55.305,55.305
0.2501,54.796,314.676,54.796,54.796
0.2601,54.286,311.75,54.286,54.286
0.2701,53.785,308.87,53.785,161.689
0.2801,53.299,306.081,53.299,53.299
0.2901,52.837,303.425,52.837,52.837
0.3001,52.405,300.945,52.405,52.405
0.3101,52.01,298.678,52.01,52.01
0.3201,51.658,296.659,51.658,51.658
0.3301,51.356,294.92,51.356,51.356
0.3401,51.106,293.488,51.106,51.106
0.3501,50.914,292.383,50.914,50.914
0.3601,50.782,291.624,50.782,50.782
0.3701,50.711,291.221,50.711,50.711
0.3801,50.704,291.179,50.704,50.704
0.3901,50.76,291.5,50.76,50.76
0.4001,50.878,292.176,50.878,50.878
0.4101,51.056,293.197,51.056,51.056
0.4201,51.29,294.545,51.29,51.29
0.4301,51.578,296.2,51.578,51.578
0.4401,51.915,298.133,51.915,51.915
0.4502,52.295,300.314,52.295,52.295
0.4602,52.712,302.707,52.712,52.712
0.4702,53.159,305.275,53.159,53.159
0.4802,53.629,307.975,53.629,53.629
0.4902,54.115,310.765,54.115,54.115
0.5002,54.608,313.599,54.608,54.608
0.5102,55.102,316.433,55.102,-65.635
0.5202,55.587,319.22,55.587,55.587
0.5302,56.057,321.917,56.057,56.057
0.5402,56.503,324.479,56.503,56.503
0.5502,56.918,326.866,56.918,56.918
0.5602,57.297,329.039,57.297,57.297
0.5702,57.632,330.963,57.632,57.632
0.5802,57.918,332.608,57.918,57.918
0.5902,58.151,333.946,58.151,58.151
0.6002,58.327,334.956,58.327,58.327
0.6102,58.443,335.62,58.443,58.443
0.6202,58.497,335.929,58.497,58.497
0.6302,58.487,335.875,58.487,58.487
0.6402,58.415,335.46,58.415,58.415
0.6502,58.281,334.689,58.281,58.281
0.6602,58.086,333.573,58.086,58.086
0.6702,57.835,332.13,57.835,57.835
0.6802,57.531,330.381,57.531,127.019
0.6902,57.178,328.354,57.178,57.178
0.7002,56.781,326.079,56.781,56.781
0.7102,56.348,323.592,56.348,56.348
0.7202,55.885,320.931,55.885,55.885
0.7302,55.399,318.138,55.399,55.399
0.7402,54.897,315.256,54.897,54.897
0.7503,54.387,312.33,54.387,54.387
0.7603,53.878,309.404,53.878,53.878
0.7703,53.377,306.526,53.377,53.377
0.7803,52.891,303.738,52.891,52.891
0.7903,52.429,301.085,52.429,52.429
0.8003,51.998,298.608,51.998,51.998
0.8103,51.604,296.345,51.604,51.604
0.8203,51.253,294.331,51.253,51.253
0.8303,50.951,292.597,50.951,50.951
0.8403,50.702,291.169,50.702,128.988
0.8503,50.511,290.071,50.511,50.511
0.8603,50.38,289.317,50.38,50.38
0.8703,50.311,288.92,50.311,50.311
0.8803,50.305,288.884,50.305,50.305
0.8903,50.361,289.211,50.361,50.361
0.9003,50.48,289.893,50.48,50.48
0.9103,50.659,290.919,50.659,50.659
0.9203,50.895,292.273,50.895,50.895
0.9303,51.184,293.933,51.184,51.184
0.9403,51.521,295.87,51.521,51.521
0.9503,51.902,298.055,51.902,51.902
0.9603,52.319,300.452,52.319,52.319
0.9703,52.766,303.022,52.766,52.766
0.9803,53.237,305.724,53.237,53.237
0.9903,53.723,308.515,53.723,53.723
1.0003,54.216,311.349,54.216,54.216
1.0103,54.71,314.182,54.71,54.71
1.0203,55.195,316.969,55.195,55.195
1.0303,55.664,319.663,55.664,55.664
1.0403,56.11,322.223,56.11,56.11
1.0504,56.525,324.607,56.525,56.525
1.0604,56.903,326.776,56.903,56.903
1.0704,57.237,328.696,57.237,57.237
1.0804,57.523,330.336,57.523,57.523
1.0904,57.755,331.668,57.755,57.755
1.1004,57.93,332.672,57.93,57.93
1.1104,58.044,333.331,58.044,58.044
1.1204,58.097,333.634,58.097,58.097
1.1304,58.087,333.574,58.087,58.087
1.1404,58.013,333.153,58.013,58.013
1.1504,57.878,332.376,57.878,57.878
1.1604,57.683,331.255,57.683,57.683
1.1704,57.43,329.806,57.43,57.43
1.1804,57.125,328.052,57.125,57.125
1.1904,56.771,326.021,56.771,56.771
